dataset_id,dataset_name,provider,source_url,country,year,task_type,classes,reported_images,downloaded_images,annotation_type,license,license_verified,citation,download_method,checksum,quality_status,recommended_usage,notes
tfds_cassava,TensorFlow Datasets Cassava,TensorFlow Datasets / Makerere AI Lab,https://www.tensorflow.org/datasets/catalog/cassava,Uganda,2019,image_classification,"healthy;cbb;cbsd;cmd;cgm",9430,9377,single_label_classification,unknown/pending upstream image-license verification,false,"TFDS cassava:0.1.0",tfds_load,see backend/ml_models/cnn_metrics.json duplicate_audit,review_required,"Primary 5-class classifier train/validation/test. Upstream image license not declared by TFDS catalog; must be verified before redistribution or commercial use.","Effective counts after SHA-256 + dHash/pHash dedup: train 5619, validation 1875, test 1873. 18 conflicting-label groups quarantined, 8 same-label duplicate groups removed, plus 1 cross-split perceptual duplicate group quarantined."
mendeley_india_cassava,Mendeley India Cassava Dataset,Mendeley Data,https://data.mendeley.com/datasets/3832tx2cb2/1,India,2021,image_classification,"healthy;cbb;cmd",228,225,single_label_classification,CC BY 4.0,true,"DOI 10.17632/3832tx2cb2.1",manual_download,not recorded,approved,"Train-only supplement to the 5-class classifier (Candidate B in ablation). Healthy 91 / CBB 46 / CMD 88 accepted into train; 3 near-duplicates quarantined. Adding it did NOT beat the TFDS-only baseline (85.80% acc / 79.78% macro-F1 vs 88.20%/83.63%), so this candidate was not promoted.","Never used in validation/test."
ccmt_cassava,CCMT Cassava Subset,Mendeley Data,https://doi.org/10.17632/bwh3zbpkpv.1,Ghana/Ivory Coast (CCMT consortium),2022,image_classification,"healthy;bacterial_blight;brown_leaf_spot;green_mite;mosaic",4996,4887,single_label_classification,CC BY 4.0,true,"DOI 10.17632/bwh3zbpkpv.1",manual_download,see backend/ml_models/brown_leaf_spot_metrics.json,approved,"Brown Leaf Spot auxiliary binary classifier train/validation/test (70/15/15 stratified). Also used as the negative class for the White Leaf Spot experiment. Also tried as a train-only ablation for the primary classifier's cbb class via backend/training/prepare_ccmt_cbb_supplement.py (see config/class_mapping.yaml bacterial_blight entry): REJECTED on 2026-08-19 -- test accuracy 84.52% and macro-F1 77.37% (vs 86.60%/80.82% no-TTA baseline), CBB recall fell to 54.55% from 67.53%. Not merged into the primary taxonomy.","No plant/field group IDs published — exact duplicates removed via SHA-256, but near-duplicate/same-scene leakage cannot be fully ruled out per project's own documented limitation."
embrapa_pddb_white_leaf_spot,Embrapa PDDB White Leaf Spot Subset,Embrapa,https://doi.org/10.48432/XA1OVL,Brazil,2022,image_classification,"white_leaf_spot",615,615,single_label_classification,CC BY-NC 4.0,true,"DOI 10.48432/XA1OVL",manual_download,see backend/ml_models/white_leaf_spot_metrics.json,experimental,"Positive class for experimental White Leaf Spot auxiliary head, paired with CCMT negatives. NOT eligible for commercial use (NC clause). Cross-source/domain confounding risk since positives and negatives come from different datasets/photographic conditions.","Held as experimental per README; not part of core 5-class production model."
mendeley_cassava_whitefly_v3,Cassava Whitefly Dataset v3,Mendeley Data,https://doi.org/10.17632/5g38399z9p.3,Not recorded,2022,object_detection,"whitefly",3000,3000,pascal_voc_bounding_box,CC BY 4.0,true,"DOI 10.17632/5g38399z9p.3",manual_download,not recorded,review_required,"Whitefly detector (YOLO/Ultralytics). Validation mAP50 75.57%, mAP50-95 36.39%; operating-point Precision 74.74% / Recall 74.68% / F1 74.71% — just under the project's 75% gate. Sealed test not yet opened; kept review-only, not production.","Ultralytics training code is AGPL-3.0 — proprietary distribution needs a commercial Ultralytics license or full AGPL compliance."
ciat_commons_mealybug,CIAT Cassava Mealybug Photographs,Wikimedia Commons (CIAT / Neil Palmer),https://commons.wikimedia.org/wiki/File:Mealybug2_(4288382696).jpg,Not recorded,2010,object_detection,"mealybug",3,3,none_no_bounding_boxes,CC BY-SA 2.0 (per recorded source metadata),false,"Neil Palmer / CIAT via Wikimedia Commons",manual_download,not recorded,rejected,"Only 3 real images, no bounding box annotations. Far below any usable threshold for a detector. Kept as a seed reference only; results not exposed to users.","Prediction NOT exposed in the app — README explicitly lists Mealybug as an unopened class due to insufficient real data."
thai_field_v1,CassavaGuard Thai Field Collection,First-party (CassavaGuard team),,Thailand,2026,image_classification,"healthy;cbb;cbsd;cmd;cgm",0,0,single_label_classification,proprietary/first-party — not yet reviewed for redistribution,false,"internal collection; see docs/THAI_FIELD_COLLECTION_TH.md",smartphone_field_capture,not applicable yet,review_required,"Reserved as the Thai Independent Test set (and optional fine-tune set) per docs/THAI_FIELD_COLLECTION_TH.md. MUST NOT be used for training/tuning/model selection once populated, except rows explicitly split=thai_finetune_train.","Structure and schema only as of 2026-08-20 — zero images collected yet. This is the current top P0 gap blocking the 95% accuracy target; see docs/superpowers/specs/2026-08-20-week1-repo-audit.md."
kaggle_cassava_leaf_2021,Cassava Leaf Disease Classification (Kaggle),Kaggle / Makerere AI Lab,https://www.kaggle.com/competitions/cassava-leaf-disease-classification/data,Uganda,2021,image_classification,"healthy;cbb;cbsd;cmd;cgm",21367,0,single_label_classification,Kaggle competition rules — non-commercial/research use only per competition terms; not CC BY,false,"Makerere AI Lab, Cassava Leaf Disease Classification, Kaggle 2021",not_downloaded,not applicable,rejected,"Would need a user-owned Kaggle account/API token to download (not something this agent should hold); CBB has ~1,087 images here vs TFDS's 455, which is genuinely more CBB signal.","REJECTED for now: same underlying Makerere/NaCRRI/iCassava-2019 crowdsourcing effort as tfds_cassava -- high risk of near-duplicate overlap with our existing TFDS train/validation/test images. Must not be used without a dedicated SHA-256+perceptual duplicate audit against all three TFDS splits first, and without clarifying whether the non-commercial competition license is compatible with this project's use."
huggingface_pufanyi_cassava,pufanyi/cassava-leaf-disease-classification,Hugging Face (community mirror),https://huggingface.co/datasets/pufanyi/cassava-leaf-disease-classification,Uganda,2021,image_classification,"healthy;cbb;cbsd;cmd;cgm",9430,0,single_label_classification,inherits Kaggle competition non-commercial terms,false,"community mirror of the Kaggle/Makerere dataset",not_downloaded,not applicable,rejected,"Image counts (9,430 / 5,656 / 1,885 / 1,889) exactly match tfds_cassava's own raw counts -- this is effectively the same source dataset, not new data.","REJECTED: same source as tfds_cassava (same raw split counts), so it adds zero new images and carries the same leakage risk plus an unclear community-reupload license chain."
roboflow_universe_cassava_community,Roboflow Universe cassava disease community datasets (multiple),Roboflow Universe (various uploaders),https://universe.roboflow.com/search?q=class%3Acassava+mosaic+disease,Not recorded,Not recorded,image_classification,"healthy;cbb;cgm;cmd",0,0,single_label_classification,"unverified — uploader-set, not independently confirmed",false,"e.g. fresh-sprout/cassava-model, SulthonReyhan/cassava-leaves-disease",not_downloaded,not applicable,rejected,"Several community projects (3-8k images each) use the exact same 4-5 class taxonomy as the Kaggle/TFDS dataset, strongly suggesting they are re-uploads/re-splits of that same source rather than independently collected data.","REJECTED: no verifiable independent provenance, no confirmed license, and very likely the same underlying images as tfds_cassava under a different re-upload -- does not meet this project's provenance-verification bar."
iita_tanzania_ramcharan,IITA Tanzania Cassava Disease Dataset (Ramcharan et al.),IITA (International Institute of Tropical Agriculture),https://arxiv.org/abs/1707.03717,Tanzania,2017,image_classification,"cmd;cbsd;brown_leaf_spot;green_mite_damage;red_mite_damage;nutrient_deficiency",2415,0,single_label_classification,not recorded in source paper,false,"Ramcharan et al. 2017, Using Transfer Learning for Image-Based Cassava Disease Detection, arXiv:1707.03717",not_downloaded,not applicable,rejected,"Genuinely different domain from TFDS (Tanzania/IITA vs Uganda/Makerere, no overlap risk) -- but does NOT include a CBB class at all, so it cannot help the CBB recall problem this search was for.","REJECTED for the CBB search specifically. Could be worth revisiting separately for the nutrient_deficiency class, which the app currently has zero real data for (see README's per-class readiness table)."
